Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,False,,Attribute,
AccountDescriptiveName,Account,account,String,True,False,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,True,False,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
CustomerDescriptiveName,Client name,clientName,String,True,False,,Attribute,
ExternalCustomerId,Customer ID,customerID,Long,True,False,,Attribute,
PrimaryCompanyName,Company name,companyName,String,True,False,,Attribute,
ReachFrequency,Frequency,frequency,Integer,True,False,,Attribute,
ReachFrequencyClicks,Clicks,clicks,Double,True,False,,Metric,
ReachFrequencyConv,Conv.,conv,Double,True,False,,Metric,
ReachFrequencyConvRate,Conv. rate,convRate,Double,True,False,,Metric,
ReachFrequencyCtr,CTR,ctr,Double,True,False,,Metric,
ReachFrequencyDate,Day,day,Date,True,False,,Segment,
UniqueUserCountAsLong,Unique Users,uniqueUsers,Long,True,False,,Metric,
