Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
AccountId,Account ID,accountID,Long,,Attribute,
AdGroupId,Ad group ID,adGroupID,Long,,Attribute,
AdGroupName,Ad group,adGroup,String,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,,Attribute,
CampaignId,Campaign ID,campaignID,Long,,Attribute,
CampaignName,Campaign,campaign,String,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,,Attribute,
ReachFrequency,Frequency,frequency,Integer,,Segment,
ReachFrequencyClicks,Clicks,clicks,Double,,Metric,
ReachFrequencyConv,Conv.,conv,Double,,Metric,
ReachFrequencyConvRate,Conv. rate,convRate,Double,,Metric,
ReachFrequencyCtr,CTR,ctr,Double,,Metric,
ReachFrequencyDate,Day,day,Date,,Segment,
UniqueUserCountAsLong,Unique Users,uniqueUsers,Long,,Metric,
