Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,True,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone of the Customer account. For example: ""(GMT-05:00) Eastern Time"".
"
AdExtensionId,Ad Extension ID,adExtensionID,Long,True,True,,Attribute,
AdExtensionType,Ad Extension Type,adExtensionType,AdExtensionType,True,True,"LOCATION_EXTENSION / location extension
LOCATION_SYNC_EXTENSION / location sync extension
MOBILE_EXTENSION / mobile extension
PRODUCT_EXTENSION / product extension
STORE_LOCATOR_EXTENSION / store locator extension
SITELINKS_EXTENSION / site links extension
DOMAIN_INFO_EXTENSION / domain info extension
UNKNOWN / unknown
",Attribute,"Predicate values / display values:
LOCATION_EXTENSION / location extension
LOCATION_SYNC_EXTENSION / location sync extension
MOBILE_EXTENSION / mobile extension
PRODUCT_EXTENSION / product extension
STORE_LOCATOR_EXTENSION / store locator extension
SITELINKS_EXTENSION / site links extension
DOMAIN_INFO_EXTENSION / domain info extension
UNKNOWN / unknown
"
AdNetworkType1,Network,network,AdNetworkType1,True,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"First level network type.
Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Second level network type (includes search partners).
Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
ApprovalStatus,Status,status,ApprovalStatus,True,True,"APPROVED / eligible
UNCHECKED / eligible
DISAPPROVED / disapproved
",Attribute,"Predicate values / display values:
APPROVED / eligible
UNCHECKED / eligible
DISAPPROVED / disapproved
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
AvgCostForOfflineInteraction,Avg. CPP,avgCPP,Money,True,True,,Metric,
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,"The ID of the Campaign.
"
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,"The number of converted clicks divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
Conversions,Converted clicks,convertedClicks,Long,True,True,,Metric,"The number of clicks that convert within your chosen conversion window.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversion,Cost / converted click,costConvertedClick,Money,True,True,,Metric,"Cost divided by your total converted clicks.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,"The Customer ID.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
LocationExtensionSource,Location Extension Source,locationExtensionSource,Source,True,True,"ADWORDS_FRONTEND / AdWords frontend
LBC_SYNC / lbc sync
",Attribute,"Predicate values / display values:
ADWORDS_FRONTEND / AdWords frontend
LBC_SYNC / lbc sync
"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
NumOfflineImpressions,Phone impressions,phoneImpressions,Long,True,True,,Metric,
NumOfflineInteractions,Phone calls,phoneCalls,Long,True,True,,Metric,
OfflineInteractionCost,Phone cost,phoneCost,Money,True,True,,Metric,
OfflineInteractionRate,PTR,ptr,Double,True,True,,Metric,
PrimaryCompanyName,Company name,companyName,String,True,True,,Attribute,
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
Slot,Top vs. Other,topVsOther,Slot,True,True,"SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
",Segment,"The position of the Ad.
Predicate values / display values:
SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
"
Status,State,state,Status,True,True,"ENABLED / enabled
REMOVED / removed
",Attribute,"The status of the main object in this row. For example, in a Campaign Performance Report this will be the status of each row's Campaign. In an Ad Group Performance Report this will be the status of each row's AdGroup.
Predicate values / display values:
ENABLED / enabled
REMOVED / removed
"
ValuePerConversion,Value / converted click,valueConvertedClick,Double,True,True,,Metric,"The total value of all conversions divided by the total number of converted clicks.
"
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
