Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,False,,Attribute,
AccountDescriptiveName,Account,account,String,False,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,False,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,False,,Attribute,
AdGroupName,Ad group,adGroup,String,False,,Attribute,
AdvertiserPhoneNumber,Business phone number,businessPhoneNumber,String,False,,Attribute,
CallDuration,Duration (seconds),durationSeconds,Long,False,,Attribute,
CallEndTime,End time,endTime,Long,False,,Attribute,
CallStartTime,Start time,startTime,Long,False,,Attribute,
CallStatus,Status,status,CallStatus,False,"RECEIVED / Received
MISSED / Missed
UNKNOWN / unknown
",Segment,"Predicate values / display values:
RECEIVED / Received
MISSED / Missed
UNKNOWN / unknown
"
CallType,Call type,callType,CallType,False,"GOOGLE_SEARCH / Manually dialed
HIGH_END_MOBILE_SEARCH / Mobile click-to-call
UNKNOWN / unknown
",Segment,"Predicate values / display values:
GOOGLE_SEARCH / Manually dialed
HIGH_END_MOBILE_SEARCH / Mobile click-to-call
UNKNOWN / unknown
"
CallerCountryCallingCode,Caller country code,callerCountryCode,String,False,,Attribute,
CallerNationalDesignatedCode,Caller area code,callerAreaCode,String,False,,Attribute,
CampaignId,Campaign ID,campaignID,Long,False,,Attribute,
CampaignName,Campaign,campaign,String,False,,Attribute,
CustomerDescriptiveName,Client name,clientName,String,False,,Attribute,
ExternalCustomerId,Customer ID,customerID,Long,False,,Attribute,
OfflineInteractionCost,Phone cost,phoneCost,Money,False,,Metric,
PrimaryCompanyName,Company name,companyName,String,False,,Attribute,
