Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
ConversionRateManyPerClickSignificance,Conversion rate ACE indicator,conversionRateACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionRateSignificance,Click conversion rate ACE indicator,clickConversionRateACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
Parameter,Dynamic ad target,dynamicAdTarget,WebpageParameter,,Attribute,
ViewThroughConversionsSignificance,View-through conv. ACE indicator,viewThroughConvACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
AccountCurrencyCode,Currency,currency,String,,Attribute,
AccountDescriptiveName,Account,account,String,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,,Attribute,
AdGroupName,Ad group,adGroup,String,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,,Attribute,
AdNetworkType1,Network,network,AdNetworkType1,,Segment,
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,,Segment,
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,,Segment,"Prevents zero-impression rows from being returned.
"
ApprovalStatus,Approval Status,approvalStatus,ApprovalStatus,,Attribute,
AverageCpc,Avg. CPC,avgCPC,Money,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,,Metric,
AveragePosition,Avg. position,avgPosition,Double,,Metric,
BidModifier,Bid adj.,bidAdj,Double,,Metric,
CampaignId,Campaign ID,campaignID,Long,,Attribute,
CampaignName,Campaign,campaign,String,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,,Attribute,
Clicks,Clicks,clicks,Long,,Metric,
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ClickType,Click type,clickType,ClickType,,Segment,"Prevents zero-impression rows from being returned. The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
"
ConversionCategoryName,Conversion category,conversionCategory,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,,Metric,
ConversionSignificance,Converted clicks ACE indicator,convertedClicksACEIndicator,SignificanceData,,Metric,"Prevents zero-impression rows from being returned.
"
ConversionsManyPerClick,Conversions,conversions,Long,,Metric,
ConversionTypeName,Conversion name,conversionName,String,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
Cost,Cost,cost,Money,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,,Metric,
