Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,False,,Attribute,
AccountDescriptiveName,Account,account,String,False,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,False,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,False,,Attribute,
AdGroupName,Ad group,adGroup,String,False,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
AverageCpc,Avg. CPC,avgCPC,Money,False,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,False,,Metric,
CampaignId,Campaign ID,campaignID,Long,False,,Attribute,
CampaignName,Campaign,campaign,String,False,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
Category0,Top level categories,topLevelCategories,String,False,,Attribute,
Category1,First level sub-categories,firstLevelSubCategories,String,False,,Attribute,
Category2,Second level sub-categories,secondLevelSubCategories,String,False,,Attribute,
Clicks,Clicks,clicks,Long,False,,Metric,
ConversionRate,Click conversion rate,clickConversionRate,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,False,,Metric,
ConversionsManyPerClick,Conversions,conversions,Long,False,,Metric,
Cost,Cost,cost,Money,False,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,False,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,False,,Metric,
CriterionId,Keyword ID,keywordID,Long,False,,Attribute,
Ctr,CTR,ctr,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,False,,Attribute,
Date,Day,day,Date,False,,Segment,
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,False,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Domain,Domain,domain,String,False,,Attribute,
ExternalCustomerId,Customer ID,customerID,Long,False,,Attribute,
Impressions,Impressions,impressions,Long,False,,Metric,
Month,Month,month,String,False,,Segment,
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,False,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
PrimaryCompanyName,Company name,companyName,String,False,,Attribute,
Quarter,Quarter,quarter,String,False,,Segment,
ValuePerConversion,Value / converted click,valueConvertedClick,Double,False,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,False,,Metric,
Week,Week,week,String,False,,Segment,
Year,Year,year,Integer,False,,Segment,
