Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,,Attribute,
AccountDescriptiveName,Account,account,String,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,,Attribute,
AdGroupName,Ad group,adGroup,String,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,,Attribute,
AverageCpc,Avg. CPC,avgCPC,Money,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,,Metric,
CampaignId,Campaign ID,campaignID,Long,,Attribute,
CampaignName,Campaign,campaign,String,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,,Attribute,
CategoryPaths,Categories,categories,String,,Attribute,
Clicks,Clicks,clicks,Long,,Metric,
ConversionRate,Click conversion rate,clickConversionRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,,Metric,"Percentage returned as ""x.xx%"".
"
Conversions,Converted clicks,convertedClicks,Long,,Metric,
ConversionsManyPerClick,Conversions,conversions,Long,,Metric,
Cost,Cost,cost,Money,,Metric,
CostPerConversion,Cost / converted click,costConvertedClick,Money,,Metric,
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,,Metric,
CriterionId,Keyword ID,keywordID,Long,,Attribute,
Ctr,CTR,ctr,Double,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,,Attribute,
Date,Day,day,Date,,Segment,"Prevents zero-impression rows from being returned.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,,Segment,"Prevents zero-impression rows from being returned.
"
Domain,Domain,domain,String,,Attribute,
ExternalCustomerId,Customer ID,customerID,Long,,Attribute,
Impressions,Impressions,impressions,Long,,Metric,
Line1,Dynamically generated Headline,dynamicallyGeneratedHeadline,String,,Attribute,
Month,Month,month,String,,Segment,"Prevents zero-impression rows from being returned.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,,Segment,"Prevents zero-impression rows from being returned.
"
PrimaryCompanyName,Company name,companyName,String,,Attribute,
PrimaryUserLogin,Login email,loginEmail,String,,Attribute,
Quarter,Quarter,quarter,String,,Segment,"Prevents zero-impression rows from being returned.
"
Query,Search term,searchTerm,String,,Attribute,"If the string for this attribute is longer than 128 char bytes, the returned result will NOT be a single aggregated row.
"
Title,Landing Page Title,landingPageTitle,String,,Attribute,
Url,URL,url,String,,Attribute,
ValuePerConv,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversion,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,,Metric,
ValuePerConvManyPerClick,Value / conv.,valueConv,Double,,Metric,
Week,Week,week,String,,Segment,"Prevents zero-impression rows from being returned.
"
Year,Year,year,Integer,,Segment,"Prevents zero-impression rows from being returned.
"
