Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,False,,Attribute,
AccountDescriptiveName,Account,account,String,False,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,False,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,False,,Attribute,
AdGroupName,Ad group,adGroup,String,False,,Attribute,
AverageCpc,Ad Avg. CPC,adAvgCPC,Money,False,,Metric,
AveragePosition,Ad Avg. position,adAvgPosition,Double,False,,Metric,
CampaignId,Campaign ID,campaignID,Long,False,,Attribute,
CampaignName,Campaign,campaign,String,False,,Attribute,
Clicks,Ad Clicks,adClicks,Long,False,,Metric,
CombinedAdsOrganicClicks,Combined Clicks,combinedClicks,Long,False,,Metric,
CombinedAdsOrganicClicksPerQuery,Combined Clicks/Query,combinedClicksQuery,Double,False,,Metric,
CombinedAdsOrganicQueries,Combined Queries,combinedQueries,Long,False,,Metric,
Ctr,Ad CTR,adCTR,Double,False,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,False,,Attribute,
Date,Day,day,Date,False,,Segment,
ExternalCustomerId,Customer ID,customerID,Long,False,,Attribute,
Impressions,Ad Impressions,adImpressions,Long,False,,Metric,
KeywordId,Keyword ID,keywordID,long,False,,Attribute,"In the Ad Performance Report this field contains the ID of the criterion that triggered the ad, segmenting the report and preventing zero impressions. The ID can be for any type of criterion, including placements, verticals, etc. Cross-reference with the Criteria Report to determine the criteria type and details.
"
KeywordTextMatchingQuery,Keyword,keyword,String,False,,Attribute,
MatchType,Match type,matchType,QueryMatchType,False,"AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
",Segment,"Predicate values / display values:
AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
"
OrganicAveragePosition,Organic Average Position,organicAveragePosition,Double,False,,Metric,
OrganicClicks,Organic Clicks,organicClicks,Long,False,,Metric,
OrganicClicksPerQuery,Organic Clicks/Query,organicClicksQuery,Double,False,,Metric,
OrganicImpressions,Organic Listings,organicListings,Long,False,,Metric,
OrganicImpressionsPerQuery,Organic Listings/Query,organicListingsQuery,Double,False,,Metric,
OrganicQueries,Organic Queries,organicQueries,Long,False,,Metric,
PrimaryCompanyName,Company name,companyName,String,False,,Attribute,
SearchQuery,Query,query,String,False,,Attribute,
SerpType,Search Result Type,searchResultType,SerpType,False,"UNKNOWN / unknown
ADS_ONLY / Ad shown only
ORGANIC_ONLY / Organic shown only
ADS_AND_ORGANIC / Both shown
",Segment,"Predicate values / display values:
UNKNOWN / unknown
ADS_ONLY / Ad shown only
ORGANIC_ONLY / Organic shown only
ADS_AND_ORGANIC / Both shown
"
