Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,True,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone of the Customer account. For example: ""(GMT-05:00) Eastern Time"".
"
ActiveViewCpm,Active View avg. CPM,activeViewAvgCPM,Money,True,True,,Metric,
ActiveViewImpressions,Active View viewable impressions,activeViewViewableImpressions,Long,True,True,,Metric,
AdNetworkType1,Network,network,AdNetworkType1,True,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"First level network type.
Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Second level network type (includes search partners).
Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
CanManageClients,Can manage clients,canManageClients,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ContentBudgetLostImpressionShare,Content Lost IS (budget),contentLostISBudget,Double,True,True,,Metric,"The estimated percent of times that your ad was eligible to show on the Display Network but didn't because your budget was too low. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"".
"
ContentImpressionShare,Content Impr. share,contentImprShare,Double,True,True,,Metric,"The impressions you’ve received on the Display Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"".
"
ContentRankLostImpressionShare,Content Lost IS (rank),contentLostISRank,Double,True,True,,Metric,"The estimated percentage of impressions on the Display Network that your ads didn't receive due to poor Ad Rank. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"".
"
ConversionCategoryName,Conversion category,conversionCategory,String,True,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionTrackerId,Conversion Tracker Id,conversionTrackerId,Long,True,False,,Segment,
ConversionTypeName,Conversion name,conversionName,String,True,False,,Attribute,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,
CostPerEstimatedTotalConversion,Cost / est. total conv.,costEstTotalConv,Double,True,True,,Metric,
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
EstimatedCrossDeviceConversions,Est. cross-device conv.,estCrossDeviceConv,Long,True,True,,Metric,"Conversions from when a customer clicks on an AdWords ad on one device, then converts on a different device or browser. Cross-device conversions are already included in your EstimatedTotalConversions column.
"
EstimatedTotalConversionRate,Est. total conv. rate,estTotalConvRate,Double,True,True,,Metric,"EstimatedTotalConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion.
"
EstimatedTotalConversionValue,Est. total conv. value,estTotalConvValue,Double,True,True,,Metric,"The total value of all of your conversions, including those that are estimated.
"
EstimatedTotalConversionValuePerClick,Est. total conv. value / click,estTotalConvValueClick,Double,True,True,,Metric,
EstimatedTotalConversionValuePerCost,Est. total conv. value / cost,estTotalConvValueCost,Double,True,True,,Metric,
EstimatedTotalConversions,Est. total conv.,estTotalConv,Long,True,True,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions.
"
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,"The Customer ID.
"
HourOfDay,Hour of day,hourOfDay,Integer,True,False,,Segment,"The hour of day as a number between 0 and 23, inclusive.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
InvalidClickRate,Invalid click rate,invalidClickRate,Double,True,True,,Metric,"The percentage (""x.xx%"") of clicks filtered out of your total number of clicks (filtered + non-filtered clicks) during the reporting period.
"
InvalidClicks,Invalid clicks,invalidClicks,Long,True,True,,Metric,"Number of clicks Google considers illegitimate and doesn't charge you for.
"
IsAutoTaggingEnabled,Auto tagging enabled,autoTaggingEnabled,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
IsTestAccount,Test account,testAccount,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Predicate values / display values:
TRUE / true
FALSE / false
"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
PrimaryCompanyName,Company name,companyName,String,True,True,,Attribute,
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
SearchBudgetLostImpressionShare,Search Lost IS (budget),searchLostISBudget,Double,True,True,,Metric,"The estimated percent of times that your ad was eligible to show on the Search Network but didn't because your budget was too low. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%""
"
SearchExactMatchImpressionShare,Search Exact match IS,searchExactMatchIS,Double,True,True,,Metric,"The impressions you've received divided by the estimated number of impressions you were eligible to receive on the Search Network for search terms that matched your keywords exactly (or were close variants of your keyword). A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
SearchImpressionShare,Search Impr. share,searchImprShare,Double,True,True,,Metric,"The impressions you’ve received on the Search Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the fields ClickType and HourOfDay on any report. Not compatible with the field Device on the Product Partition Report.
"
SearchRankLostImpressionShare,Search Lost IS (rank),searchLostISRank,Double,True,True,,Metric,"The estimated percentage of impressions on the Search Network that your ads didn't receive due to poor Ad Rank. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
Slot,Top vs. Other,topVsOther,Slot,True,True,"SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
",Segment,"The position of the Ad.
Predicate values / display values:
SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,
ValuePerEstimatedTotalConversion,Value / est. total conv.,valueEstTotalConv,Double,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
