Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,,Attribute,
AccountDescriptiveName,Account,account,String,True,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,True,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,True,,Attribute,
AdGroupName,Ad group,adGroup,String,True,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
AdNetworkType1,Network,network,AdNetworkType1,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,True,"OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
",Segment,"Predicate values / display values:
OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
"
ApprovalStatus,Approval Status,approvalStatus,ApprovalStatus,True,"APPROVED / approved
PENDING_REVIEW / pending review
UNDER_REVIEW / under review
DISAPPROVED / disapproved
",Attribute,"Predicate values / display values:
APPROVED / approved
PENDING_REVIEW / pending review
UNDER_REVIEW / under review
DISAPPROVED / disapproved
"
AverageCpc,Avg. CPC,avgCPC,Money,True,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,True,,Metric,
AveragePosition,Avg. position,avgPosition,Double,True,,Metric,
BidModifier,Bid adj.,bidAdj,Double,True,,Attribute,
BidType,Conversion optimizer bid type,conversionOptimizerBidType,BidType,True,"TARGET_CPA / target cpa
",Attribute,"Predicate values / display values:
TARGET_CPA / target cpa
"
CampaignId,Campaign ID,campaignID,Long,True,,Attribute,
CampaignName,Campaign,campaign,String,True,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,True,,Metric,
ClickType,Click type,clickType,ClickType,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,,Metric,
ConversionCategoryName,Conversion category,conversionCategory,String,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,True,,Metric,
ConversionRate,Click conversion rate,clickConversionRate,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
