Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,False,,Attribute,
AccountDescriptiveName,Account,account,String,False,,Attribute,
AccountTimeZoneId,Time zone,timeZone,String,False,,Attribute,"Name of the timezone. For example: ""(GMT-05:00) Eastern Time"".
"
AdFormat,Ad type,adType,AdFormat,False,"UNKNOWN / unknown
TEXT / text
IMAGE / image
DYNAMIC_IMAGE / dynamic_image
FLASH / flash
VIDEO / video
HTML / html
AUDIO / audio
COMPOSITE / composite
PRINT / print
",Segment,"Predicate values / display values:
UNKNOWN / unknown
TEXT / text
IMAGE / image
DYNAMIC_IMAGE / dynamic_image
FLASH / flash
VIDEO / video
HTML / html
AUDIO / audio
COMPOSITE / composite
PRINT / print
"
AdGroupId,Ad group ID,adGroupID,Long,False,,Attribute,
AdGroupName,Ad group,adGroup,String,False,,Attribute,
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
AdNetworkType1,Network,network,AdNetworkType1,False,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,False,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
AverageCpc,Avg. CPC,avgCPC,Money,False,,Metric,
AverageCpm,Avg. CPM,avgCPM,Money,False,,Metric,
AveragePosition,Avg. position,avgPosition,Double,False,,Metric,
CampaignId,Campaign ID,campaignID,Long,False,,Attribute,
CampaignName,Campaign,campaign,String,False,,Attribute,
CampaignStatus,Campaign state,campaignState,CampaignStatus,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Predicate values / display values:
UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
"
Clicks,Clicks,clicks,Long,False,,Metric,
