Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,True,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone of the Customer account. For example: ""(GMT-05:00) Eastern Time"".
"
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,"The name of the AdGroup.
"
AdId,Ad ID,adID,Long,True,False,,Attribute,"The ID of the Ad.
"
AdNetworkType1,Network,network,AdNetworkType1,True,True,"SEARCH / Search Network
CONTENT / Display Network
",Segment,"First level network type.
Predicate values / display values:
SEARCH / Search Network
CONTENT / Display Network
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Second level network type (includes search partners).
Predicate values / display values:
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
"
AttributeValues,Attribute Values,attributeValues,List,False,True,,Attribute,"The FeedItem's attribute values.
List elements are delimited by the semicolon character (;)
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
CampaignId,Campaign ID,campaignID,Long,True,False,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,False,,Attribute,"The name of the Campaign.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
Predicate values / display values:
URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ConversionCategoryName,Conversion category,conversionCategory,String,True,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionTrackerId,Conversion Tracker Id,conversionTrackerId,Long,True,False,,Segment,
ConversionTypeName,Conversion name,conversionName,String,True,False,,Attribute,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
DevicePreference,Device preference,devicePreference,FeedItemDevicePreference,True,True,,Attribute,
DisapprovalShortNames,Disapproval reasons,disapprovalReasons,List,True,True,,Attribute,"List elements are delimited by the semicolon character (;)
"
EndTime,End date,endDate,DateTime,False,True,,Attribute,"The end time in which the FeedItem is no longer effective and will stop serving
"
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,"The Customer ID.
"
FeedId,Feed ID,feedID,Long,True,True,,Attribute,"The Feed ID.
"
FeedItemId,Item ID,itemID,Long,True,True,,Attribute,"The FeedItem ID.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
IsSelfAction,This extension vs. Other,thisExtensionVsOther,Enum,True,False,"TRUE / This extension
FALSE / Other
",Attribute,"Predicate values / display values:
TRUE / This extension
FALSE / Other
"
KeywordId,Keyword ID,keywordID,Long,True,True,,Attribute,"In the Ad Performance Report this field contains the ID of the criterion that triggered the ad, segmenting the report and preventing zero impressions. The ID can be for any type of criterion, including placements, verticals, etc. Cross-reference with the Criteria Report to determine the criteria type and details.
"
KeywordMatchType,Target keyword match type,targetKeywordMatchType,KeywordMatchType,True,True,"EXACT / Exact
PHRASE / Phrase
BROAD / Broad
",Attribute,"The match type for the Keyword.
Predicate values / display values:
EXACT / Exact
PHRASE / Phrase
BROAD / Broad
"
KeywordText,Target keyword text,targetKeywordText,String,True,True,,Attribute,"The text of the Keyword.
"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
PlaceholderType,Feed placeholder type,feedPlaceholderType,Integer,True,True,,Attribute,
PrimaryCompanyName,Company name,companyName,String,True,True,,Attribute,
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
Scheduling,Scheduling,scheduling,FeedItemScheduling,False,True,,Attribute,
Slot,Top vs. Other,topVsOther,Slot,True,True,"SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
",Segment,"The position of the Ad.
Predicate values / display values:
SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
"
StartTime,Start date,startDate,DateTime,False,True,,Attribute,"The start time in which the FeedItem is effective and can begin serving.
"
Status,Item state,itemState,Status,True,True,"ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
",Attribute,"The status of the main object in this row. For example, in a Campaign Performance Report this will be the status of each row's Campaign. In an Ad Group Performance Report this will be the status of each row's AdGroup.
Predicate values / display values:
ENABLED / Enabled
REMOVED / Removed
UNKNOWN / unknown
"
UrlCustomParameters,Custom parameter,customParameter,CustomParameters,False,True,,Attribute,
ValidationDetails,Approval Status,approvalStatus,List,False,True,,Attribute,"Details about the validation state for the FeedItem.
List elements are delimited by the semicolon character (;)
"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
