Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,False,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,False,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,False,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone.
"
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,"The name of the AdGroup.
"
AverageCpc,Ad Avg. CPC,adAvgCPC,Money,True,False,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AveragePosition,Ad Avg. position,adAvgPosition,Double,True,False,,Metric,"Your ad's position relative to those of other advertisers.
"
CampaignId,Campaign ID,campaignID,Long,True,False,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,False,,Attribute,"The name of the Campaign.
"
Clicks,Ad Clicks,adClicks,Long,True,False,,Metric,"The number of clicks.
"
CombinedAdsOrganicClicks,Combined Clicks,combinedClicks,Long,True,False,,Metric,"Clicks from ads or organic search results.
"
CombinedAdsOrganicClicksPerQuery,Combined Clicks/Query,combinedClicksQuery,Double,True,False,,Metric,"CombinedAdsOrganicClicks divided by CombinedAdsOrganicQueries.
"
CombinedAdsOrganicQueries,Combined Queries,combinedQueries,Long,True,False,,Metric,"Total number of searches that returned pages from your site in the organic search results or triggered one of your ads.
"
Ctr,Ad CTR,adCTR,Double,True,False,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,False,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,False,,Segment,"The date formatted as yyyy-MM-dd.
"
ExternalCustomerId,Customer ID,customerID,Long,True,False,,Attribute,"The Customer ID.
"
Impressions,Ad Impressions,adImpressions,Long,True,False,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
KeywordId,Keyword ID,keywordID,long,False,False,,Attribute,"In the Ad Performance Report this field contains the ID of the criterion that triggered the ad, segmenting the report and preventing zero impressions. The ID can be for any type of criterion, including placements, verticals, etc. Cross-reference with the Criteria Report to determine the criteria type and details.
"
KeywordTextMatchingQuery,Keyword,keyword,String,True,False,,Attribute,"Keyword that matched the query and triggered the ad.
"
MatchType,Match type,matchType,QueryMatchType,True,False,"AUTO / auto
BROAD / broad
BROAD_SESSION / broad (session-based)
EXACT / exact
EXPANDED / broad
PHRASE / phrase
",Segment,"Match type of the keyword that triggered the ad.
"
OrganicAveragePosition,Organic Average Position,organicAveragePosition,Double,True,False,,Metric,"Average top position of your organic listing (or multiple listings) for each query.
"
OrganicClicks,Organic Clicks,organicClicks,Long,True,False,,Metric,"Number of times someone clicked your site's listing in the unpaid results for a particular query.
"
OrganicClicksPerQuery,Organic Clicks/Query,organicClicksQuery,Double,True,False,,Metric,"Number of clicks you’ve received on your organic search listings divided by the total number of searches that returned pages from your site.
"
OrganicImpressions,Organic Listings,organicListings,Long,True,False,,Metric,"Number of organic search listing impressions.
"
OrganicImpressionsPerQuery,Organic Listings/Query,organicListingsQuery,Double,True,False,,Metric,"Average number of times a page from your site was listed per query.
"
OrganicQueries,Organic Queries,organicQueries,Long,True,False,,Metric,"Total number of searches that returned organic search results for your site over the given period.
"
PrimaryCompanyName,Company name,companyName,String,True,False,,Attribute,"Company name of the account.
"
SearchQuery,Query,query,String,True,False,,Attribute,"Query that led to the impression.
"
SerpType,Search Result Type,searchResultType,SerpType,True,False,"UNKNOWN / unknown
ADS_ONLY / Ad shown only
ORGANIC_ONLY / Organic shown only
ADS_AND_ORGANIC / Both shown
",Segment,"The type of search result.
"
