Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,False,,Attribute,The currency of the Customer account.
AccountDescriptiveName,Account,account,String,True,False,,Attribute,The descriptive name of the Customer account.
AccountTimeZoneId,Time zone,timeZone,String,True,False,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone."
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,The ID of the AdGroup.
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,The name of the AdGroup.
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,Status of the ad group.
CallDuration,Duration (seconds),durationSeconds,Long,True,False,,Attribute,"The duration of the call, in seconds."
CallEndTime,End time,endTime,Long,True,False,,Attribute,The end date and time of the call.
CallerCountryCallingCode,Caller country code,callerCountryCode,String,True,False,,Attribute,Country code of the caller.
CallerNationalDesignatedCode,Caller area code,callerAreaCode,String,True,False,,Attribute,Area code of the caller.
CallStartTime,Start time,startTime,Long,True,False,,Attribute,The start date and time of the call.
CallStatus,Status,status,CallStatus,True,False,"RECEIVED / Received
MISSED / Missed
UNKNOWN / unknown
",Attribute,The status of the call.
CallTrackingDisplayLocation,Call source,callSource,CallDetailsDisplayLocation,True,False,"UNKNOWN / unknown
AD / Ad
LANDING_PAGE / Website
",Attribute,"Location (e.g., ad or landing page) of the impression where the phone number was shown."
CallType,Call type,callType,CallType,True,False,"GOOGLE_SEARCH / Manually dialed
HIGH_END_MOBILE_SEARCH / Mobile click-to-call
UNKNOWN / unknown
",Attribute,The type of the call.
CampaignId,Campaign ID,campaignID,Long,True,False,,Attribute,The ID of the Campaign.
CampaignName,Campaign,campaign,String,True,False,,Attribute,The name of the Campaign.
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,The status of the Campaign.
CustomerDescriptiveName,Client name,clientName,String,True,False,,Attribute,The descriptive name of the Customer.
Date,Day,day,Date,True,False,,Attribute,The date formatted as yyyy-MM-dd.
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,False,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Attribute,"The name of the day of the week, e.g., ""Monday""."
ExternalCustomerId,Customer ID,customerID,Long,True,False,,Attribute,The Customer ID.
HourOfDay,Hour of day,hourOfDay,Integer,True,False,,Attribute,"The hour of day as a number between 0 and 23, inclusive."
Month,Month,month,String,True,False,,Attribute,"The first day of the month, formatted as yyyy-MM-dd."
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,False,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Attribute,"The name of the month of the year, e.g., ""December""."
PrimaryCompanyName,Company name,companyName,String,True,False,,Attribute,Company name of the account.
Quarter,Quarter,quarter,String,True,False,,Attribute,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01."
Week,Week,week,String,True,False,,Attribute,"The date for the Monday of the week, formatted as yyyy-MM-dd."
Year,Year,year,Integer,True,False,,Attribute,"The year, formatted as yyyy."
