Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountDescriptiveName,Account,account,String,True,False,,Attribute,The descriptive name of the Customer account.
AdGroupId,Ad group ID,adGroupID,Long,True,False,,Attribute,The ID of the AdGroup.
AdGroupName,Ad group,adGroup,String,True,False,,Attribute,The name of the AdGroup.
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,False,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,Status of the ad group.
AdNetworkType1,Network,network,AdNetworkType1,True,False,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
",Segment,First level network type.
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,False,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
",Segment,Second level network type (includes search partners).
AllConversionRate,All conv. rate,allConvRate,Double,True,False,,Metric,"AllConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversions,All conv.,allConv,Double,True,False,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversionValue,All conv. value,allConvValue,Double,True,False,,Metric,"The total value of all of your conversions, including those that are estimated.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AverageCost,Avg. Cost,avgCost,Money,True,False,,Metric,The average amount you pay per interaction. This amount is the total cost of your ads divided by the total number of interactions.
AverageCpc,Avg. CPC,avgCPC,Money,True,False,,Metric,The total cost of all clicks divided by the total number of clicks received.
AverageCpe,Avg. CPE,avgCPE,Double,True,False,,Metric,"The average amount that you’ve been charged for an ad engagement. This amount is the total cost of all ad engagements divided by the total number of ad engagements.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AverageCpm,Avg. CPM,avgCPM,Money,True,False,,Metric,Average Cost-per-thousand impressions (CPM).
