Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountDescriptiveName,Account,account,String,True,True,,Attribute,The descriptive name of the Customer account.
AdGroupId,Ad group ID,adGroupID,Long,True,True,,Attribute,The ID of the AdGroup.
AdGroupName,Ad group,adGroup,String,True,True,,Attribute,The name of the AdGroup.
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,Status of the ad group.
AdNetworkType1,Network,network,AdNetworkType1,True,True,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
",Segment,First level network type.
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
",Segment,Second level network type (includes search partners).
AllConversionRate,All conv. rate,allConvRate,Double,True,True,,Metric,"AllConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversions,All conv.,allConv,Double,True,True,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions. This field is formatted with dot (""."") for decimal separator, precision of two decimal positions and no thousands separator (e.g. 1000000.00).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversionValue,All conv. value,allConvValue,Double,True,True,,Metric,"The total value of all of your conversions, including those that are estimated. This field is formatted with dot (""."") for decimal separator, precision of two decimal positions and no thousands separator (e.g. 1000000.00).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,The total cost of all clicks divided by the total number of clicks received.
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,Average Cost-per-thousand impressions (CPM).
BenchmarkAverageMaxCpc,Benchmark Max. CPC,benchmarkMaxCPC,Money,True,True,,Metric,Indicates how other advertisers are bidding on similar products.
BenchmarkCtr,Benchmark CTR,benchmarkCTR,Double,True,True,,Metric,"Indicates how other advertisers' Shopping ads for similar products are performing based on how often people who see their ad end up clicking on it.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,The ID of the Campaign.
CampaignName,Campaign,campaign,String,True,True,,Attribute,The name of the Campaign.
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,The status of the Campaign.
Clicks,Clicks,clicks,Long,True,True,,Metric,The number of clicks.
