Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,The currency of the Customer account.
AccountDescriptiveName,Account,account,String,True,True,,Attribute,The descriptive name of the Customer account.
AccountTimeZone,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone."
BaseCampaignId,Base Campaign ID,baseCampaignID,Long,True,True,,Attribute,"The ID of base campaign of trial campaigns. For regular campaigns, this is equal to CampaignId."
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,The ID of the Campaign.
CampaignName,Campaign,campaign,String,True,True,,Attribute,The name of the Campaign.
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,The status of the Campaign.
Criteria,Criterion,criterion,String,True,True,,Attribute,"Descriptive string for the Criterion. For more information on the format of criteria types in reports, see <a href='https://developers.google.com/adwords/api/docs/guides/reporting#criteria_prefixes'>the <b>Criteria prefixes</b> section of the reporting guide</a>."
CriteriaType,Criteria Type,criteriaType,Type,True,True,"CONTENT_LABEL / Content Label
KEYWORD / Keyword
PLACEMENT / Placement
VERTICAL / Vertical
USER_LIST / User List
USER_INTEREST / User Interest
MOBILE_APPLICATION / Mobile Application
MOBILE_APP_CATEGORY / Mobile App Category
PRODUCT_PARTITION / Product Partition
IP_BLOCK / IP Block
WEBPAGE / Webpage
LANGUAGE / Language
LOCATION / Location
AGE_RANGE / Age
CARRIER / Carrier
OPERATING_SYSTEM_VERSION / Operating System Version
MOBILE_DEVICE / Mobile Device
GENDER / Gender
PARENT / Parental status
PROXIMITY / Proximity
PLATFORM / Platform
PREFERRED_CONTENT / Preferred Content
AD_SCHEDULE / Ad Schedule
LOCATION_GROUPS / Location Groups
PRODUCT_SCOPE / Product Scope
RUN_OF_NETWORK / Run of network
CUSTOM_AFFINITY / Custom Affinity
CUSTOM_IN_MARKET / Custom In-Market
YOUTUBE_VIDEO / YouTube Video
YOUTUBE_CHANNEL / YouTube Channel
APP_PAYMENT_MODEL / App Payment Model
INCOME_RANGE / Household income
INTERACTION_TYPE / Interaction type
UNKNOWN / unknown
",Attribute,The type of the Criterion.
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,The descriptive name of the Customer.
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,The Customer ID.
Id,Criterion ID,criterionID,Long,True,True,,Attribute,ID of the main object of this row.
IsNegative,Is negative,isNegative,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,Indicates if the criterion for this row is a negative (exclusion) criterion.
