Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,The currency of the Customer account.
AccountDescriptiveName,Account,account,String,True,True,,Attribute,The descriptive name of the Customer account.
AccountTimeZone,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone."
ActiveViewCpm,Active View avg. CPM,activeViewAvgCPM,Money,True,True,,Metric,"Average cost of viewable impressions (ActiveViewImpressions).
Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if this field is a bid and AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if this field is a bid and no bid applies to the row."
ActiveViewCtr,Active View viewable CTR,activeViewViewableCTR,Double,True,True,,Metric,"How often people clicked your ad after it became viewable.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ActiveViewImpressions,Active View viewable impressions,activeViewViewableImpressions,Long,True,True,,Metric,How often your ad has become viewable on a Display Network site.
ActiveViewMeasurability,Active View measurable impr. / impr.,activeViewMeasurableImprImpr,Double,True,True,,Metric,"The ratio of impressions that could be measured by Active View over the number of served impressions.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ActiveViewMeasurableCost,Active View measurable cost,activeViewMeasurableCost,Money,True,True,,Metric,"The cost of the impressions you received that were measurable by Active View.
Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if this field is a bid and AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if this field is a bid and no bid applies to the row."
ActiveViewMeasurableImpressions,Active View measurable impr.,activeViewMeasurableImpr,Long,True,True,,Metric,The number of times your ads are appearing on placements in positions where they can be seen.
ActiveViewViewability,Active View viewable impr. / measurable impr.,activeViewViewableImprMeasurableImpr,Double,True,True,,Metric,"The percentage of time when your ad appeared on an Active View enabled site (measurable impressions) and was viewable (viewable impressions).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AdNetworkType1,Network,network,AdNetworkType1,True,True,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
MIXED / Cross-network
",Segment,First level network type.
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
YOUTUBE_SEARCH / YouTube Search
YOUTUBE_WATCH / YouTube Videos
MIXED / Cross-network
",Segment,Second level network type (includes search partners).
AllConversionRate,All conv. rate,allConvRate,Double,True,True,,Metric,"AllConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversions,All conv.,allConv,Double,True,True,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions. This field is formatted with dot (""."") for decimal separator, precision of two decimal positions and no thousands separator (e.g. 1000000.00).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AllConversionValue,All conv. value,allConvValue,Double,True,True,,Metric,"The total value of all of your conversions, including those that are estimated. This field is formatted with dot (""."") for decimal separator, precision of two decimal positions and no thousands separator (e.g. 1000000.00).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AverageCost,Avg. Cost,avgCost,Money,True,True,,Metric,"The average amount you pay per interaction. This amount is the total cost of your ads divided by the total number of interactions.
Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if this field is a bid and AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if this field is a bid and no bid applies to the row."
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if this field is a bid and AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if this field is a bid and no bid applies to the row."
AverageCpe,Avg. CPE,avgCPE,Double,True,True,,Metric,"The average amount that you've been charged for an ad engagement. This amount is the total cost of all ad engagements divided by the total number of ad engagements.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if this field is a bid and AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if this field is a bid and no bid applies to the row."
AverageCpv,Avg. CPV,avgCPV,Double,True,True,,Metric,"The average amount you pay each time someone views your ad. The average CPV is defined by the total cost of all ad views divided by the number of views.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
CanManageClients,Can manage clients,canManageClients,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,Indicates if the account is an MCC account (true) or a regular AdWords account (false).
Clicks,Clicks,clicks,Long,True,True,,Metric,The number of clicks.
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Shopping ad - Standard
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
STORE_LOCATOR / Show nearby locations
PRODUCT_LISTING_AD_LOCAL / Shopping ad - Local
APP_DEEPLINK / App engagement ad deep link
PRODUCT_LISTING_AD_MULTICHANNEL_LOCAL / Shopping ad - MultiChannel Local
PRODUCT_LISTING_AD_MULTICHANNEL_ONLINE / Shopping ad - MultiChannel Online
PRODUCT_LISTING_ADS_COUPON / Shopping ad - Coupon
PRODUCT_LISTING_AD_TRANSACTABLE / Shopping ad - Sell on Google
PRODUCT_AD_APP_DEEPLINK / Shopping ad - App Deeplink
SHOWCASE_AD_CATEGORY_LINK / Shopping - Showcase - Category
SHOWCASE_AD_LOCAL_STOREFRONT_LINK / Shopping - Showcase - Local storefront
SHOWCASE_AD_ONLINE_PRODUCT_LINK / Shopping - Showcase - Online product
SHOWCASE_AD_LOCAL_PRODUCT_LINK / Shopping - Showcase - Local product
PRICE_EXTENSION / Price Extension
VIDEO_WEBSITE_CLICKS / Website
VIDEO_CALL_TO_ACTION_CLICKS / Call-to-Action overlay
VIDEO_APP_STORE_CLICKS / App store
VIDEO_CARD_ACTION_HEADLINE_CLICKS / Cards
VIDEO_END_CAP_CLICKS / End cap
CLICK_ON_ENGAGEMENT_AD / Click on engagement ad
LOCATION_FORMAT_MAP / Map
LOCATION_FORMAT_LANDING_PAGE / Go to landing page
LOCATION_FORMAT_STORE_INFO / Go to store info
LOCATION_FORMAT_DIRECTIONS / Directions
LOCATION_FORMAT_CALL / Call
LOCATION_FORMAT_TEXT / Text
LOCATION_FORMAT_IMAGE / Image(s)
BROADBAND_PLAN / Broadband Plan
WIRELESS_PLAN / Wireless Plan
VISUAL_SITELINKS / Visual Sitelinks
PROMOTION_EXTENSION / Promotion Extension
SWIPEABLE_GALLERY_AD_HEADLINE / Ad Headline
SWIPEABLE_GALLERY_AD_SWIPES / Swipes
SWIPEABLE_GALLERY_AD_SEE_MORE / See More
SWIPEABLE_GALLERY_AD_SITELINK_ONE / Sitelink 1
SWIPEABLE_GALLERY_AD_SITELINK_TWO / Sitelink 2
SWIPEABLE_GALLERY_AD_SITELINK_THREE / Sitelink 3
SWIPEABLE_GALLERY_AD_SITELINK_FOUR / Sitelink 4
SWIPEABLE_GALLERY_AD_SITELINK_FIVE / Sitelink 5
UNKNOWN / unknown
",Segment,"Indicates the click type for metric fields such as Impressions. Since ads that serve can be attributed to multiple click types, metric fields may be double-counted and thus totals may not be accurate, especially for Display network campaigns."
ContentBudgetLostImpressionShare,Content Lost IS (budget),contentLostISBudget,Double,True,True,,Metric,"The estimated percent of times that your ad was eligible to show on the Display Network but didn't because your budget was too low. A percentage returned as ""xx.xx%"", or the special value ""> 90%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ContentImpressionShare,Content Impr. share,contentImprShare,Double,True,True,,Metric,"The impressions you've received on the Display Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special value ""< 10%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ContentRankLostImpressionShare,Content Lost IS (rank),contentLostISRank,Double,True,True,,Metric,"The estimated percentage of impressions on the Display Network that your ads didn't receive due to poor Ad Rank. A percentage returned as ""xx.xx%"", or the special value ""> 90%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ConversionAdjustment,Conversion adjustment,conversionAdjustment,Enum,True,False,"TRUE / Adjustments
FALSE / Original conversions
",Attribute,Whether the conversion was adjusted or the conversion is original one.
ConversionAdjustmentLagBucket,Days to conversion or adjustment,daysToConversionOrAdjustment,ConversionAdjustmentLagBucket,True,False,"UNKNOWN / Unknown
CONVERSION_0_TO_1_DAY / <1 day (impr. to conv.)
CONVERSION_1_TO_2_DAYS / 1-2 days (impr. to conv.)
CONVERSION_2_TO_3_DAYS / 2-3 days (impr. to conv.)
CONVERSION_3_TO_4_DAYS / 3-4 days (impr. to conv.)
CONVERSION_4_TO_5_DAYS / 4-5 days (impr. to conv.)
CONVERSION_5_TO_6_DAYS / 5-6 days (impr. to conv.)
CONVERSION_6_TO_7_DAYS / 6-7 days (impr. to conv.)
CONVERSION_7_TO_8_DAYS / 7-8 days (impr. to conv.)
CONVERSION_8_TO_9_DAYS / 8-9 days (impr. to conv.)
CONVERSION_9_TO_10_DAYS / 9-10 days (impr. to conv.)
CONVERSION_10_TO_11_DAYS / 10-11 days (impr. to conv.)
CONVERSION_11_TO_12_DAYS / 11-12 days (impr. to conv.)
CONVERSION_12_TO_13_DAYS / 12-13 days (impr. to conv.)
CONVERSION_13_TO_14_DAYS / 13-14 days (impr. to conv.)
CONVERSION_14_TO_21_DAYS / 14-21 days (impr. to conv.)
CONVERSION_21_TO_30_DAYS / 21-30 days (impr. to conv.)
CONVERSION_30_TO_45_DAYS / 30-45 days (impr. to conv.)
CONVERSION_45_TO_60_DAYS / 45-60 days (impr. to conv.)
CONVERSION_60_TO_90_DAYS / 60-90 days (impr. to conv.)
ADJUSTMENT_0_TO_1_DAY / <1 day (impr. to adj.)
ADJUSTMENT_1_TO_2_DAYS / 1-2 days (impr. to adj.)
ADJUSTMENT_2_TO_3_DAYS / 2-3 days (impr. to adj.)
ADJUSTMENT_3_TO_4_DAYS / 3-4 days (impr. to adj.)
ADJUSTMENT_4_TO_5_DAYS / 4-5 days (impr. to adj.)
ADJUSTMENT_5_TO_6_DAYS / 5-6 days (impr. to adj.)
ADJUSTMENT_6_TO_7_DAYS / 6-7 days (impr. to adj.)
ADJUSTMENT_7_TO_8_DAYS / 7-8 days (impr. to adj.)
ADJUSTMENT_8_TO_9_DAYS / 8-9 days (impr. to adj.)
ADJUSTMENT_9_TO_10_DAYS / 9-10 days (impr. to adj.)
ADJUSTMENT_10_TO_11_DAYS / 10-11 days (impr. to adj.)
ADJUSTMENT_11_TO_12_DAYS / 11-12 days (impr. to adj.)
ADJUSTMENT_12_TO_13_DAYS / 12-13 days (impr. to adj.)
ADJUSTMENT_13_TO_14_DAYS / 13-14 days (impr. to adj.)
ADJUSTMENT_14_TO_21_DAYS / 14-21 days (impr. to adj.)
ADJUSTMENT_21_TO_30_DAYS / 21-30 days (impr. to adj.)
ADJUSTMENT_30_TO_45_DAYS / 30-45 days (impr. to adj.)
ADJUSTMENT_45_TO_60_DAYS / 45-60 days (impr. to adj.)
ADJUSTMENT_60_TO_90_DAYS / 60-90 days (impr. to adj.)
ADJUSTMENT_90_TO_145_DAY / 90-145 days (impr. to adj.)
CONVERSION_UNKNOWN / Unknown (impr. to conv.)
ADJUSTMENT_UNKNOWN / Unknown (impr. to adj.)
",Segment,The number of days between the impression and the conversion or between the impression and adjustments to the conversion.
ConversionCategoryName,Conversion category,conversionCategory,String,True,False,,Segment,"A category that describes the action the user will take to complete a conversion. Prevents zero-conversion rows from being returned. Values: ""Download"", ""Lead"", ""Purchase/Sale"", ""Signup"", ""View of a key page"", and ""Other""."
ConversionLagBucket,Days to conversion,daysToConversion,ConversionLagBucket,True,False,"UNKNOWN / Unknown
CONVERSION_0_TO_1_DAY / <1 day
CONVERSION_1_TO_2_DAYS / 1-2 days
CONVERSION_2_TO_3_DAYS / 2-3 days
CONVERSION_3_TO_4_DAYS / 3-4 days
CONVERSION_4_TO_5_DAYS / 4-5 days
CONVERSION_5_TO_6_DAYS / 5-6 days
CONVERSION_6_TO_7_DAYS / 6-7 days
CONVERSION_7_TO_8_DAYS / 7-8 days
CONVERSION_8_TO_9_DAYS / 8-9 days
CONVERSION_9_TO_10_DAYS / 9-10 days
CONVERSION_10_TO_11_DAYS / 10-11 days
CONVERSION_11_TO_12_DAYS / 11-12 days
CONVERSION_12_TO_13_DAYS / 12-13 days
CONVERSION_13_TO_14_DAYS / 13-14 days
CONVERSION_14_TO_21_DAYS / 14-21 days
CONVERSION_21_TO_30_DAYS / 21-30 days
CONVERSION_30_TO_45_DAYS / 30-45 days
CONVERSION_45_TO_60_DAYS / 45-60 days
CONVERSION_60_TO_90_DAYS / 60-90 days
",Segment,Days between click and conversion.
ConversionRate,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
Conversions,Conversions,conversions,Double,True,True,,Metric,"The number of conversions for all conversion actions that you have opted into optimization. This field is formatted with dot (""."") for decimal separator, precision of two decimal positions and no thousands separator (e.g. 1000000.00).
To prevent calculation accuracy issues, fields whose data type is <code>Double</code> can be used <em>only</em> with the following operators in predicates: <code>LESS_THAN</code> or <code>GREATER_THAN</code>. This is also true for <a href='/adwords/api/docs/guides/awql'>AWQL</a>: <em>Only</em> the operators <code>&lt;</code> and <code>&gt;</code> are allowed in the <code>WHERE</code> clause."
ConversionTrackerId,Conversion Tracker Id,conversionTrackerId,Long,True,False,,Segment,ID of the conversion tracker.
ConversionTypeName,Conversion name,conversionName,String,True,False,,Segment,The name of the conversion type. Prevents zero-conversion rows from being returned.
